HolderAddress,Balance
0x81971cbc2036b2876a08c7e2f1120ad83567e9a3,10376.67788
0x1775e82e2372ed5bc74a35b41c87b8621ee55540,230.3513858
0x53afd7521ce2bd5177c917d2a23fa5977e43df69,14288.55827
0x549ef2436833e110e9080706d6075c3194954fa2,1.087045823
0x5eca31dee1437d5dc7b074ce1787332e64f96641,372.2653553
0xab62a51dc7972adba0e129e33542b2bee5c01625,0.36819211
0x5efc186bd11a0dbf11b196bb8fe019bb513d91e2,1.997122678
0x5ff8024e0efb39217042477a57972533436d26c2,0.468788643
0xbdeae830d263986357f8932d70444375d2fea357,46694.97267
0xaf54d0ad59211e85663e9d28f4df16215118acde,910000.736
0x98a6eedd9d8eff0962cf5f8e1afbffba2d8048b4,97.95623423
0xfde08702651a175fb4d65ca1d5bd30e877c59913,5260.038067
0xd38bba39c6ce6885759e044894c7430dc4230c53,285453.7549
0xb78290201891dbe6829858a42d76d0741a9ed5a6,1.347482935
0x99057dc58b50de965728e0dcd113dcd8244d2376,13.60778638
0x0885f86f9f28379aa0ad1014b5152af9d650287b,201294.982
0x36791cc74725fcd3d7ec77580f8bcf679c26f4f2,1.76919035
0x6ae73f78ac8b1de096a7f5e1d4dcdf699aae2f63,59.79735938
0x5ea2748f558fb224be94736c7bf048f673b517cb,0.018256228
0x0f26c85ae8f9b5b4b83cd562d61b6443191dbc45,0.388710534
0x093d83f0964ea14f692d17d1c3dbdc52923250ee,7.099870524
0x0197c726bbe0aba14710ae18045820fbaa5e8910,21.36765056
0x087c1f1a1afa1ffac2b7bb0f8165923280b7f5ae,6.396895754
0x20fb3215afb83b57093d9a3c0235c5e3321c8932,0.001087483
0x286c9abd0be3e4ca29779ab2e4437727ed00d8bd,1432.838424
0xcb6954b3d68a7c81bfd5797dd8ed3fc981ceaf7b,172.3947834
0x33b8c5a27f1b4b8b694c78098ce5e4375ea39c9d,405892.1065
0xa6e0189db739a064fc039175ca664a3e82361853,12384394.42
0xb6f5ef1970ddb2f66b69469b6fb2133c4a43bfdf,225346.9854
0x2188f8f7976306001c40fa647a3805dbe1a818b0,1.65E-07
0x89fbe4d64648531a415d01c075737f4d1bd35abc,33.22388788
0x1b2e9ce0c8e1aab7361ee1d420f026149dded5ce,0.00204596
0x9201823cf07f1134e5e7cb701f3afb66560b60ab,100001.8366
0x06acceec8706a93ac7eae7224fd07cd44849d6b0,65.41632842
0xd899be887947bb6c649b2b22eb1a62b6881c51b8,0.15712598
0x451d54d6f78991959cb642d4c7bc7ad30ed003f6,0.354922614
0xe93b0496abac564666b736cce053aff20515d69b,585.8612013
0x612da992d54376b6e9ba9de1234d7214be13ba8e,6.159142223
0xfb4ca887f2bb122cd67d8bb977205c5214d8f7b2,615382.7268
0xf620fd5392aee3d2b793db7570099a0d6cacff96,21280.3267
0x715da277c32f96d13c9374407ea94570f18b6fba,860.1637906
0xe208265d354c10d0f3d5652bfa4eb4fe80052921,4.950548056
0xeb689e1eaf9746076f544d55c23c5390e72ec7dd,178.1490549
0x088c2fc22f653c06708fd1e9cc383c69ed3aede7,38.73356012
0xe6ef00ed8279681c2b7824d5b61ec0beba5e2e53,146783.1929
0x200a200907e671e7a33cf4ff9cfdd54003f80218,50139.77128
0x08c0db4c7c4800689b38f12843081a781b9a0428,117.1354968
